ID, CC_area, CC_perimeter, CC_circularity, CC_length, W1, W2, W3, W4, W5, W6, W7
./Caltech/0051470/session_1/anat_1/abide_cc, 738.25, 209.92, 0.210518,  76.0,  23.50, 161.25, 110.75,  93.25,  73.50,  64.75, 211.25
./Caltech/0051471/session_1/anat_1/abide_cc, 617.75, 183.87, 0.229606,  62.0,  20.00, 134.00,  84.25,  84.75,  67.00,  54.75, 173.00
./Caltech/0051472/session_1/anat_1/abide_cc, 692.75, 208.29, 0.200659,  78.0,  12.75, 145.50, 104.25,  87.50,  58.00,  72.25, 212.50
./Caltech/0051473/session_1/anat_1/abide_cc, 599.00, 207.44, 0.174927,  77.0,  27.00, 145.25,  73.50,  68.75,  59.50,  43.25, 181.75
./Caltech/0051474/session_1/anat_1/abide_cc, 825.00, 229.38, 0.197040,  77.0,  28.25, 184.50, 101.50,  82.50,  86.75,  73.50, 268.00
./Caltech/0051475/session_1/anat_1/abide_cc, 545.00, 187.68, 0.194430,  72.5,  12.75, 111.75,  86.50,  84.00,  57.00,  50.00, 143.00
./Caltech/0051476/session_1/anat_1/abide_cc, 819.00, 229.89, 0.194732,  80.5,  43.00, 160.50, 137.75,  92.50,  79.75,  69.75, 235.75
./Caltech/0051477/session_1/anat_1/abide_cc, 434.75, 169.78, 0.189525,  63.0,  10.50, 104.00,  67.50,  54.25,  46.75,  38.75, 113.00
./Caltech/0051478/session_1/anat_1/abide_cc, 504.00, 186.66, 0.181776,  70.0,  16.50, 111.25,  77.25,  58.25,  52.00,  44.00, 144.75
./Caltech/0051479/session_1/anat_1/abide_cc, 542.75, 190.15, 0.188641,  68.0,  17.75, 124.25,  90.75,  63.00,  48.50,  40.75, 157.75
./Caltech/0051480/session_1/anat_1/abide_cc, 594.00, 186.97, 0.213517,  66.0,  19.00, 132.00,  83.50,  64.50,  61.50,  55.25, 178.25
./Caltech/0051481/session_1/anat_1/abide_cc, 681.25, 203.46, 0.206805,  74.5,  21.00, 163.50, 101.75,  83.25,  66.00,  60.25, 185.50
./Caltech/0051482/session_1/anat_1/abide_cc, 485.75, 188.07, 0.172569,  66.5,  17.00,  77.50,  81.50,  57.75,  38.75,  36.25, 177.00
./Caltech/0051483/session_1/anat_1/abide_cc, 456.75, 162.00, 0.218695,  60.5,  10.50,  91.50,  88.00,  66.25,  47.50,  35.25, 117.75
./Caltech/0051484/session_1/anat_1/abide_cc, 528.50, 197.63, 0.170037,  73.0,  19.25,  93.50, 100.00,  73.25,  57.00,  45.75, 139.75
./Caltech/0051485/session_1/anat_1/abide_cc, 698.00, 219.12, 0.182690,  79.5,  23.00, 149.50, 112.50,  79.75,  68.50,  51.50, 213.25
./Caltech/0051486/session_1/anat_1/abide_cc, 569.50, 202.29, 0.174889,  74.5,  22.00, 128.50,  84.00,  64.75,  59.00,  49.00, 162.25
./Caltech/0051487/session_1/anat_1/abide_cc, 454.50, 168.47, 0.201237,  63.0,  11.00, 129.00,  64.75,  50.00,  33.75,  34.00, 132.00
./Caltech/0051488/session_1/anat_1/abide_cc, 489.00, 200.44, 0.152952,  70.0,  20.50, 107.25,  79.50,  52.50,  39.75,  30.50, 159.00
./Caltech/0051489/session_1/anat_1/abide_cc, 759.75, 223.94, 0.190370,  80.0,  14.25, 140.50, 120.50,  91.50,  80.25,  61.75, 251.00
./Caltech/0051490/session_1/anat_1/abide_cc, 853.75, 211.21, 0.240502,  69.5,  25.50, 175.75, 116.75,  98.50,  91.00,  91.00, 255.25
./Caltech/0051491/session_1/anat_1/abide_cc, 603.00, 197.63, 0.194007,  73.0,  20.50, 119.00,  81.75,  64.75,  51.75,  67.25, 198.00
./Caltech/0051492/session_1/anat_1/abide_cc, 735.00, 204.17, 0.221579,  73.5,  22.50, 197.25,  95.25,  82.00,  67.00,  73.75, 197.25
./Caltech/0051493/session_1/anat_1/abide_cc, 864.75, 218.82, 0.226941,  74.0,  21.75, 230.50, 123.50,  80.50,  79.50,  71.25, 257.75
./CMU_a/0050642/session_1/anat_1/abide_cc, 697.50, 205.75, 0.207045,  76.0,  20.50, 175.25, 102.75,  84.50,  67.25,  64.50, 182.75
./CMU_a/0050646/session_1/anat_1/abide_cc, 598.75, 188.20, 0.212439,  67.5,  22.25, 166.00,  66.00,  68.75,  66.00,  44.75, 165.00
./CMU_a/0050647/session_1/anat_1/abide_cc, 541.00, 187.32, 0.193754,  69.5,  21.50, 133.75,  82.75,  62.25,  53.50,  39.00, 148.25
./CMU_a/0050649/session_1/anat_1/abide_cc, 675.00, 220.34, 0.174717,  76.5,  35.50, 148.50,  94.75,  71.50,  64.50,  51.00, 209.25
./CMU_a/0050653/session_1/anat_1/abide_cc, 945.25, 237.62, 0.210369,  82.5,  34.25, 190.50, 120.25, 107.25,  98.00, 104.25, 290.75
./CMU_a/0050654/session_1/anat_1/abide_cc, 613.75, 194.58, 0.203705,  65.0,  16.00, 156.25,  91.75,  69.00,  68.75,  48.25, 163.75
./CMU_a/0050656/session_1/anat_1/abide_cc, 627.50, 193.39, 0.210845,  71.0,  13.75, 156.50, 108.25,  77.75,  55.75,  51.50, 164.00
./CMU_a/0050659/session_1/anat_1/abide_cc, 520.75, 184.25, 0.192771,  69.5,  21.75, 130.50,  95.75,  61.50,  49.00,  37.25, 125.00
./CMU_a/0050660/session_1/anat_1/abide_cc, 734.50, 210.36, 0.208583,  76.5,  20.50, 170.50, 103.25,  91.00,  68.50,  69.75, 211.00
./CMU_a/0050663/session_1/anat_1/abide_cc, 608.00, 204.51, 0.182678,  74.0,  22.50, 128.50,  90.25,  73.00,  58.00,  44.50, 191.25
./CMU_a/0050664/session_1/anat_1/abide_cc, 554.75, 188.73, 0.195712,  72.5,  11.25, 128.25,  68.50,  67.00,  63.50,  55.25, 161.00
./CMU_a/0050665/session_1/anat_1/abide_cc, 436.25, 173.32, 0.182499,  63.5,  19.50, 103.00,  60.75,  48.50,  45.25,  36.00, 123.25
./CMU_a/0050666/session_1/anat_1/abide_cc, 786.25, 210.77, 0.222402,  75.5,  22.25, 192.50, 103.00,  96.75,  86.75,  70.50, 214.50
./CMU_a/0050668/session_1/anat_1/abide_cc, 632.50, 205.92, 0.187438,  77.0,  18.50, 158.50,  94.50,  75.25,  57.25,  51.25, 177.25
./CMU_b/0050643/session_1/anat_1/abide_cc, 652.50, 202.68, 0.199601,  72.5,  20.25, 131.75,  99.75,  83.25,  57.75,  55.25, 204.50
./CMU_b/0050644/session_1/anat_1/abide_cc, 549.50, 182.56, 0.207189,  69.0,   3.75, 112.50,  89.75,  69.25,  57.75,  45.25, 171.25
./CMU_b/0050645/session_1/anat_1/abide_cc, 585.00, 190.58, 0.202399,  72.0,  10.25, 122.00,  97.25,  77.00,  55.00,  52.25, 171.25
./CMU_b/0050648/session_1/anat_1/abide_cc, 468.75, 179.10, 0.183646,  65.5,   9.25, 102.25,  60.75,  52.00,  55.00,  45.75, 143.75
./CMU_b/0050650/session_1/anat_1/abide_cc, 452.50, 173.49, 0.188923,  63.0,  17.75,  91.00,  70.25,  50.25,  45.75,  34.75, 142.75
./CMU_b/0050651/session_1/anat_1/abide_cc, 585.00, 194.61, 0.194104,  71.0,  20.25, 116.50,  80.25,  68.75,  71.50,  52.50, 175.25
./CMU_b/0050652/session_1/anat_1/abide_cc, 589.75, 192.22, 0.200583,  69.5,  21.50, 138.00,  85.50,  73.25,  69.25,  49.00, 153.25
./CMU_b/0050655/session_1/anat_1/abide_cc, 758.50, 228.87, 0.181959,  81.5,  39.50, 157.50, 109.00,  90.00,  87.25,  59.75, 215.50
./CMU_b/0050657/session_1/anat_1/abide_cc, 810.25, 219.58, 0.211174,  84.0,  16.50, 188.25, 103.75,  92.75,  90.75,  84.00, 234.25
./CMU_b/0050658/session_1/anat_1/abide_cc, 846.00, 233.79, 0.194497,  80.5,  30.00, 164.25, 140.00,  99.50,  81.25,  89.00, 242.00
./CMU_b/0050661/session_1/anat_1/abide_cc, 607.50, 195.12, 0.200525,  70.0,  28.50, 122.75,  87.00,  76.50,  69.00,  56.00, 167.75
./CMU_b/0050667/session_1/anat_1/abide_cc, 679.00, 226.24, 0.166705,  80.0,  37.00, 118.50, 115.00,  81.00,  66.25,  48.25, 213.00
./CMU_b/0050669/session_1/anat_1/abide_cc, 732.75, 206.92, 0.215052,  77.5,  21.75, 199.50, 100.00,  86.75,  68.25,  63.75, 192.75
./KKI/0050797/session_1/anat_1/abide_cc, 601.00, 205.53, 0.178785,  73.5,  14.50, 110.00, 110.75,  67.75,  58.75,  58.00, 181.25
./KKI/0050772/session_1/anat_1/abide_cc, 580.50, 197.07, 0.187824,  69.5,  23.25, 118.25,  83.25,  64.75,  63.25,  42.00, 185.75
./KKI/0050773/session_1/anat_1/abide_cc, 619.50, 193.05, 0.208897,  68.0,  18.00, 145.25,  92.00,  74.00,  59.50,  61.25, 169.50
./KKI/0050774/session_1/anat_1/abide_cc, 572.25, 192.70, 0.193652,  68.5,  17.00, 143.25,  92.00,  70.25,  51.75,  51.50, 146.50
./KKI/0050775/session_1/anat_1/abide_cc, 533.25, 199.58, 0.168230,  74.5,   6.75, 129.25,  63.00,  71.50,  54.75,  44.25, 163.75
./KKI/0050776/session_1/anat_1/abide_cc, 473.50, 177.32, 0.189246,  65.5,  11.25, 126.50,  89.50,  49.25,  39.00,  33.75, 124.25
./KKI/0050777/session_1/anat_1/abide_cc, 573.75, 178.32, 0.226749,  63.0,  17.50, 148.50,  86.00,  69.25,  50.50,  46.00, 156.00
./KKI/0050778/session_1/anat_1/abide_cc, 481.75, 182.00, 0.182756,  68.5,  20.00, 128.75,  70.75,  56.00,  49.75,  37.00, 119.50
./KKI/0050779/session_1/anat_1/abide_cc, 629.50, 189.41, 0.220497,  65.5,  19.25, 140.00,  97.50,  74.00,  62.00,  58.75, 178.00
./KKI/0050780/session_1/anat_1/abide_cc, 513.50, 177.44, 0.204953,  62.0,  17.50,  99.50,  80.25,  63.00,  54.25,  41.25, 157.75
./KKI/0050781/session_1/anat_1/abide_cc, 523.00, 177.68, 0.208175,  62.0,  21.50, 138.50,  61.25,  66.75,  56.75,  24.25, 154.00
./KKI/0050782/session_1/anat_1/abide_cc, 519.25, 190.65, 0.179516,  68.0,   5.50, 115.75,  75.75,  69.75,  58.00,  40.00, 154.50
./KKI/0050783/session_1/anat_1/abide_cc, 518.25, 185.61, 0.189036,  66.0,  20.25, 115.75,  85.25,  58.00,  54.75,  42.25, 142.00
./KKI/0050784/session_1/anat_1/abide_cc, 486.00, 184.80, 0.178826,  68.5,  12.25, 109.50,  81.25,  60.25,  50.00,  38.25, 134.50
./KKI/0050785/session_1/anat_1/abide_cc, 626.75, 210.41, 0.177899,  71.5,  34.25, 134.00, 107.00,  65.25,  50.00,  50.25, 186.00
./KKI/0050786/session_1/anat_1/abide_cc, 504.50, 190.41, 0.174862,  69.5,  14.50, 112.00,  89.50,  65.50,  48.25,  35.00, 139.75
./KKI/0050787/session_1/anat_1/abide_cc, 613.00, 204.65, 0.183924,  69.5,  20.00, 117.25, 102.75,  67.00,  55.25,  55.25, 195.50
./KKI/0050788/session_1/anat_1/abide_cc, 471.00, 175.32, 0.192567,  67.5,   5.75,  89.50,  84.25,  57.50,  51.50,  40.50, 142.00
./KKI/0050789/session_1/anat_1/abide_cc, 593.50, 193.49, 0.199213,  73.0,  15.75, 152.00,  81.75,  66.75,  53.75,  47.50, 176.00
./KKI/0050790/session_1/anat_1/abide_cc, 397.75, 183.81, 0.147937,  70.5,  14.00,  89.50,  61.50,  48.75,  36.00,  26.50, 121.50
./KKI/0050791/session_1/anat_1/abide_cc, 558.50, 181.49, 0.213075,  68.5,   9.00,  92.50,  85.75,  67.50,  57.50,  72.25, 174.00
./KKI/0050792/session_1/anat_1/abide_cc, 567.00, 212.19, 0.158254,  73.5,  28.75, 122.25,  91.00,  64.75,  54.75,  48.50, 157.00
./KKI/0050793/session_1/anat_1/abide_cc, 566.75, 197.44, 0.182699,  75.0,  15.25, 121.25,  88.00,  64.00,  52.25,  49.75, 176.25
./KKI/0050794/session_1/anat_1/abide_cc, 585.00, 210.70, 0.165588,  74.5,  21.75, 107.00,  99.00,  76.75,  57.25,  49.50, 173.75
./KKI/0050795/session_1/anat_1/abide_cc, 444.50, 171.44, 0.190048,  63.0,   6.75, 103.00,  73.00,  55.00,  45.00,  35.25, 126.50
./KKI/0050796/session_1/anat_1/abide_cc, 565.50, 205.75, 0.167862,  75.0,  10.75,  90.00, 116.00,  71.50,  54.50,  48.50, 174.25
./KKI/0050798/session_1/anat_1/abide_cc, 645.25, 200.02, 0.202679,  73.5,   4.75, 161.00,  80.25,  82.00,  64.00,  61.25, 192.00
./KKI/0050799/session_1/anat_1/abide_cc, 599.25, 176.37, 0.242092,  62.0,  14.00, 158.00,  77.25,  76.50,  59.50,  46.75, 167.25
./KKI/0050800/session_1/anat_1/abide_cc, 648.00, 197.73, 0.208273,  74.5,  14.75, 167.50,  86.00,  84.50,  63.50,  47.00, 184.75
./KKI/0050801/session_1/anat_1/abide_cc, 495.75, 189.39, 0.173686,  67.0,  20.25, 112.25,  73.25,  53.75,  47.50,  39.25, 149.50
./KKI/0050802/session_1/anat_1/abide_cc, 451.25, 160.25, 0.220827,  53.5,  12.00,  96.50,  86.00,  47.50,  43.75,  41.75, 123.75
./KKI/0050803/session_1/anat_1/abide_cc, 574.75, 206.77, 0.168927,  73.5,  18.00, 121.25,  88.50,  64.00,  58.25,  58.25, 166.50
./KKI/0050804/session_1/anat_1/abide_cc, 578.25, 210.87, 0.163411,  76.0,  28.50, 132.50, 100.50,  65.25,  52.00,  47.75, 151.75
./KKI/0050805/session_1/anat_1/abide_cc, 670.50, 195.29, 0.220932,  70.5,  14.25, 153.00,  92.25,  82.00,  51.00,  65.75, 212.25
./KKI/0050806/session_1/anat_1/abide_cc, 484.50, 182.32, 0.183167,  66.0,  20.50,  98.25,  83.00,  58.00,  40.00,  38.75, 146.00
./KKI/0050807/session_1/anat_1/abide_cc, 676.00, 185.05, 0.248085,  65.5,  14.00, 191.00,  88.25,  86.25,  72.00,  57.75, 166.75
./KKI/0050808/session_1/anat_1/abide_cc, 512.50, 179.42, 0.200066,  64.5,  16.25, 127.50,  68.75,  55.50,  50.50,  41.25, 152.75
./KKI/0050809/session_1/anat_1/abide_cc, 563.00, 189.56, 0.196891,  65.5,  15.75, 135.75,  87.00,  62.25,  58.75,  46.00, 157.50
./KKI/0050810/session_1/anat_1/abide_cc, 513.75, 206.82, 0.150925,  74.5,  20.25, 113.00,  82.50,  53.00,  53.00,  37.50, 154.50
./KKI/0050811/session_1/anat_1/abide_cc, 644.50, 202.85, 0.196821,  74.0,  32.00, 156.25, 103.75,  81.50,  63.25,  40.00, 167.75
./KKI/0050812/session_1/anat_1/abide_cc, 524.00, 193.51, 0.175847,  72.5,  11.00, 113.75,  91.75,  66.75,  56.50,  36.50, 147.75
./KKI/0050813/session_1/anat_1/abide_cc, 497.75, 192.22, 0.169293,  70.5,  13.50, 102.00,  87.75,  58.75,  44.25,  44.75, 146.75
./KKI/0050814/session_1/anat_1/abide_cc, 587.75, 198.85, 0.186784,  75.5,  14.75, 133.50,  92.00,  69.25,  53.25,  52.25, 172.75
./KKI/0050815/session_1/anat_1/abide_cc, 477.25, 189.00, 0.167902,  70.0,   4.75,  88.75,  77.75,  59.00,  47.50,  41.25, 158.25
./KKI/0050816/session_1/anat_1/abide_cc, 625.25, 205.31, 0.186401,  66.5,  28.25, 121.50,  98.25,  81.25,  64.50,  43.75, 187.75
./KKI/0050817/session_1/anat_1/abide_cc, 459.25, 168.49, 0.203290,  61.5,  14.75, 134.50,  58.00,  53.75,  50.75,  34.00, 113.50
./KKI/0050818/session_1/anat_1/abide_cc, 463.75, 179.85, 0.180160,  64.5,  11.50,  94.50,  72.75,  51.50,  44.25,  37.25, 152.00
./KKI/0050819/session_1/anat_1/abide_cc, 508.50, 185.25, 0.186209,  66.0,  15.50, 124.75,  68.25,  54.50,  49.50,  38.50, 157.50
./KKI/0050820/session_1/anat_1/abide_cc, 486.25, 178.15, 0.192539,  66.0,  11.00, 121.50,  71.75,  48.50,  45.25,  46.25, 142.00
./KKI/0050821/session_1/anat_1/abide_cc, 515.50, 179.39, 0.201303,  66.5,   8.75, 108.50,  78.50,  58.50,  53.00,  49.25, 159.00
./KKI/0050822/session_1/anat_1/abide_cc, 465.25, 175.85, 0.189059,  63.5,  13.75,  98.50,  61.75,  50.25,  52.25,  43.00, 145.75
./KKI/0050823/session_1/anat_1/abide_cc, 535.25, 199.65, 0.168741,  70.0,  32.25,  92.75,  99.00,  65.75,  53.25,  49.25, 143.00
./KKI/0050824/session_1/anat_1/abide_cc, 560.75, 187.51, 0.200416,  66.5,   9.50, 119.50,  92.50,  75.75,  60.00,  42.75, 160.75
./KKI/0050825/session_1/anat_1/abide_cc, 616.00, 198.51, 0.196439,  70.0,  24.50, 127.75, 111.25,  74.50,  62.75,  52.75, 162.50
./KKI/0050826/session_1/anat_1/abide_cc, 486.00, 183.34, 0.181694,  63.0,  23.00,  75.50, 102.00,  61.50,  55.50,  42.75, 125.75
./Leuven_1/0050682/session_1/anat_1/abide_cc, 509.50, 196.61, 0.165631,  74.0,  16.25, 108.75,  77.75,  61.25,  45.00,  40.75, 159.75
./Leuven_1/0050683/session_1/anat_1/abide_cc, 772.75, 206.24, 0.228304,  70.5,  31.50, 194.50,  95.50,  90.00,  72.25,  66.25, 222.75
./Leuven_1/0050685/session_1/anat_1/abide_cc, 786.25, 208.70, 0.226838,  73.5,  32.50, 204.50,  98.25,  96.50,  82.25,  64.00, 208.25
./Leuven_1/0050686/session_1/anat_1/abide_cc, 698.25, 214.31, 0.191047,  76.0,  27.75, 158.25, 104.00,  84.00,  68.00,  64.00, 192.25
./Leuven_1/0050687/session_1/anat_1/abide_cc, 622.25, 208.15, 0.180484,  73.5,  38.50, 137.50, 104.75,  74.75,  58.00,  44.25, 164.50
./Leuven_1/0050688/session_1/anat_1/abide_cc, 552.50, 187.02, 0.198493,  70.5,  15.00, 129.25,  91.00,  69.25,  54.50,  47.00, 146.50
./Leuven_1/0050689/session_1/anat_1/abide_cc, 730.00, 221.17, 0.187540,  76.0,  35.25, 157.00, 121.25,  80.50,  69.50,  55.25, 211.25
./Leuven_1/0050690/session_1/anat_1/abide_cc, 592.50, 186.02, 0.215158,  68.0,  16.50, 130.50,  81.50,  66.25,  56.25,  57.50, 184.00
./Leuven_1/0050691/session_1/anat_1/abide_cc, 525.75, 196.29, 0.171475,  71.5,  17.75, 111.75,  89.75,  61.25,  53.25,  38.25, 153.75
./Leuven_1/0050692/session_1/anat_1/abide_cc, 755.25, 216.05, 0.203334,  79.0,  27.50, 216.75, 107.00,  85.75,  57.25,  63.50, 197.50
./Leuven_1/0050693/session_1/anat_1/abide_cc, 620.75, 212.17, 0.173290,  77.0,  24.75, 125.50, 102.25,  76.75,  52.25,  46.75, 192.50
./Leuven_1/0050694/session_1/anat_1/abide_cc, 733.50, 245.74, 0.152632,  79.0,  36.75, 136.75, 125.00,  71.25,  58.25,  57.00, 248.50
./Leuven_1/0050695/session_1/anat_1/abide_cc, 565.50, 204.58, 0.169790,  75.5,  19.00, 111.25,  99.25,  66.25,  54.00,  43.50, 172.25
./Leuven_1/0050696/session_1/anat_1/abide_cc, 646.75, 211.63, 0.181463,  76.0,  33.00, 126.75, 102.00,  72.00,  56.00,  60.00, 197.00
./Leuven_1/0050697/session_1/anat_1/abide_cc, 694.25, 208.87, 0.199967,  75.0,  23.75, 165.75, 105.25,  84.50,  68.25,  54.50, 192.25
./Leuven_1/0050698/session_1/anat_1/abide_cc, 650.25, 226.00, 0.159990,  81.0,  25.25, 115.25, 127.25,  76.25,  62.00,  56.00, 188.25
./Leuven_1/0050699/session_1/anat_1/abide_cc, 663.25, 212.65, 0.184310,  74.5,  32.75, 136.75, 102.50,  80.25,  76.25,  59.75, 175.00
./Leuven_1/0050700/session_1/anat_1/abide_cc, 823.00, 229.14, 0.196978,  78.5,  38.75, 188.25, 132.50,  95.25,  80.50,  69.25, 218.50
./Leuven_1/0050701/session_1/anat_1/abide_cc, 592.25, 200.68, 0.184800,  73.5,  29.00, 132.75,  87.00,  69.25,  57.75,  59.75, 156.75
./Leuven_1/0050702/session_1/anat_1/abide_cc, 871.50, 244.67, 0.182939,  82.0,  32.25, 150.50, 164.75,  96.25,  77.25,  56.50, 294.00
./Leuven_1/0050703/session_1/anat_1/abide_cc, 535.75, 193.56, 0.179697,  71.0,  21.50, 110.75,  77.50,  65.50,  54.25,  43.25, 163.00
./Leuven_1/0050704/session_1/anat_1/abide_cc, 754.25, 214.38, 0.206233,  73.5,  30.25, 174.25, 122.50,  99.25,  80.25,  63.50, 184.25
./Leuven_1/0050705/session_1/anat_1/abide_cc, 608.25, 203.80, 0.184023,  73.5,  22.00, 144.25,  85.75,  72.50,  64.75,  43.50, 175.50
./Leuven_1/0050706/session_1/anat_1/abide_cc, 712.75, 213.00, 0.197428,  80.5,  20.00, 168.75, 107.50,  76.00,  69.75,  79.25, 191.50
./Leuven_1/0050707/session_1/anat_1/abide_cc, 563.00, 187.25, 0.201786,  68.0,  20.50, 109.75,  73.50,  65.50,  62.00,  49.00, 182.75
./Leuven_1/0050708/session_1/anat_1/abide_cc, 528.00, 174.54, 0.217800,  67.0,   7.25, 105.75,  89.00,  59.50,  46.25,  50.50, 169.75
./Leuven_1/0050709/session_1/anat_1/abide_cc, 843.25, 233.94, 0.193615,  83.5,  36.75, 154.00, 124.50,  92.00,  73.75,  90.50, 271.75
./Leuven_1/0050710/session_1/anat_1/abide_cc, 570.75, 206.10, 0.168857,  73.0,  22.75, 104.25,  91.75,  60.50,  58.50,  46.25, 186.75
./Leuven_1/0050711/session_1/anat_1/abide_cc, 654.25, 227.53, 0.158809,  77.0,  31.50, 114.50, 108.50,  69.75,  56.00,  49.00, 225.00
./Leuven_2/0050722/session_1/anat_1/abide_cc, 447.25, 169.02, 0.196726,  62.0,   9.25,  86.50,  92.00,  61.25,  44.25,  35.50, 118.50
./Leuven_2/0050723/session_1/anat_1/abide_cc, 478.50, 178.73, 0.188230,  63.5,  13.50, 103.00,  85.00,  56.25,  47.75,  41.25, 131.75
./Leuven_2/0050724/session_1/anat_1/abide_cc, 419.75, 167.32, 0.188416,  59.0,  11.25,  71.75,  87.25,  47.00,  43.50,  40.25, 118.75
./Leuven_2/0050725/session_1/anat_1/abide_cc, 677.25, 211.16, 0.190873,  71.0,  31.00, 134.00, 105.25,  88.25,  72.00,  66.00, 180.75
./Leuven_2/0050726/session_1/anat_1/abide_cc, 613.50, 201.72, 0.189458,  70.0,  21.75, 139.75, 106.25,  71.00,  53.75,  52.75, 168.25
./Leuven_2/0050727/session_1/anat_1/abide_cc, 583.75, 201.51, 0.180653,  74.0,  18.50, 117.50, 103.25,  66.00,  53.25,  48.25, 177.00
./Leuven_2/0050728/session_1/anat_1/abide_cc, 596.50, 195.12, 0.196894,  69.0,  15.00, 125.50,  91.75,  67.75,  63.25,  54.00, 179.25
./Leuven_2/0050730/session_1/anat_1/abide_cc, 438.75, 173.95, 0.182205,  67.5,   5.00,  94.25,  70.00,  53.00,  47.00,  35.00, 134.50
./Leuven_2/0050731/session_1/anat_1/abide_cc, 717.00, 219.24, 0.187456,  73.5,  26.75, 141.75, 107.00,  80.00,  70.50,  65.75, 225.25
./Leuven_2/0050732/session_1/anat_1/abide_cc, 542.75, 194.61, 0.180085,  70.5,  18.50, 117.25, 106.25,  62.00,  53.75,  40.75, 144.25
./Leuven_2/0050733/session_1/anat_1/abide_cc, 447.75, 188.92, 0.157642,  68.5,  13.50,  83.25,  88.00,  57.25,  43.50,  38.00, 124.25
./Leuven_2/0050734/session_1/anat_1/abide_cc, 527.75, 181.15, 0.202107,  66.5,  15.50, 115.75,  87.50,  60.75,  49.25,  50.50, 148.50
./Leuven_2/0050735/session_1/anat_1/abide_cc, 505.75, 177.78, 0.201081,  67.0,  11.75,  93.75,  74.25,  65.25,  51.50,  47.75, 161.50
./Leuven_2/0050736/session_1/anat_1/abide_cc, 515.75, 188.07, 0.183226,  70.5,  10.00, 108.25,  72.00,  63.25,  45.75,  40.75, 175.75
./Leuven_2/0050737/session_1/anat_1/abide_cc, 568.25, 201.87, 0.175222,  72.0,  14.75, 115.50, 119.00,  71.00,  48.25,  40.25, 159.50
./Leuven_2/0050738/session_1/anat_1/abide_cc, 611.25, 189.92, 0.212946,  65.0,  32.00, 149.50,  94.00,  70.75,  58.75,  47.25, 159.00
./Leuven_2/0050739/session_1/anat_1/abide_cc, 538.75, 179.90, 0.209180,  64.5,  19.25, 139.25,  64.50,  59.50,  51.25,  42.25, 162.75
./Leuven_2/0050740/session_1/anat_1/abide_cc, 574.25, 202.46, 0.176049,  70.5,  24.50, 112.00,  83.00,  61.25,  57.50,  51.00, 185.00
./Leuven_2/0050741/session_1/anat_1/abide_cc, 673.75, 204.82, 0.201813,  72.0,  23.50, 135.00, 107.50,  77.50,  63.75,  66.00, 200.50
./Leuven_2/0050742/session_1/anat_1/abide_cc, 563.25, 184.90, 0.207025,  70.5,  10.25, 122.75,  79.25,  75.75,  54.00,  49.25, 172.00
./Leuven_2/0050743/session_1/anat_1/abide_cc, 688.00, 201.46, 0.213021,  70.0,  19.75, 166.00,  83.50,  75.50,  65.25,  59.00, 219.00
